,Point_number,Point Latitude,Point Longitude,Pharmacy name,Pharmacy Latitude,Pharmacy Longitude,Pharmacy distance to point,Pharmacy Adress,Pharmacy Address
46,69,-34.6523403238518,-58.41367356139996,Farmacias Dr. Ahorro,-34.6528946,-58.4163857,255,,Av. Sáenz 1091
47,74,-34.6523403238518,-58.374409683199964,Farmacia República de Barracas,-34.648162841796875,-58.37276840209961,488,,Iriarte
48,74,-34.6523403238518,-58.374409683199964,Kiosco Despensa La Amistad,-34.65289303899906,-58.37517478802206,93,,Rua Osvaldo Cruz - E 34
49,74,-34.6523403238518,-58.374409683199964,Aphel,-34.65160954788162,-58.37415397167206,84,,Herrera 2179
50,75,-34.64571849233329,-58.523612420359946,Farmacia Cosquin,-34.646828,-58.522547,157,,
51,75,-34.64571849233329,-58.523612420359946,Farmacia,-34.65121934253819,-58.525792201112566,644,,Montiel
52,78,-34.64571849233329,-58.50005409343995,Farma Vital,-34.64480678043132,-58.49514842033386,460,,Av. Juan B. Alberdi 4899
53,79,-34.64571849233329,-58.492201317799946,Farma Vital,-34.64480678043132,-58.49514842033386,288,,Av. Juan B. Alberdi 4899
54,79,-34.64571849233329,-58.492201317799946,FarmaVital,-34.64775,-58.49422,292,,Av. Juan B. Alberdi 4899
55,79,-34.64571849233329,-58.492201317799946,Farmacia Directorio,-34.64975954915839,-58.48931543794552,521,,
56,81,-34.64571849233329,-58.476495766519946,Me Tente,-34.647503,-58.477005,204,,Av. Directorio 3701
57,87,-34.64571849233329,-58.42937911267995,Farmacia Social Cobo,-34.64162438037782,-58.43229821147003,528,,Av Cobo 1199
58,88,-34.64571849233329,-58.42152633703996,Farmacity,-34.642182729411665,-58.422996394637686,415,,Av La Plata 2401
59,88,-34.64571849233329,-58.42152633703996,Farmacia Sivori,-34.644432067871094,-58.421417236328125,143,,
60,88,-34.64571849233329,-58.42152633703996,Farmacia Marina,-34.64445114135742,-58.4213752746582,141,,
61,94,-34.64571849233329,-58.374409683199964,Farmacia República de Barracas,-34.648162841796875,-58.37276840209961,310,,Iriarte
62,94,-34.64571849233329,-58.374409683199964,Farmacity,-34.645752,-58.372986,130,,Av Montes De Oca 1608
63,95,-34.64571849233329,-58.36655690755996,Farmacity,-34.645752,-58.372986,588,,Av Montes De Oca 1608
64,97,-34.63909666081477,-58.523612420359946,Farmacity,-34.63927769201228,-58.52560253665612,183,,Av. Rivadavia 11420
65,97,-34.63909666081477,-58.523612420359946,Farmacias TKL - Gran Liniers,-34.639305,-58.527213,330,,Av. Rivadavia 11552
66,99,-34.63909666081477,-58.507906869079946,Farmacia Santa María,-34.638150897376555,-58.50399434566498,373,,Av. Rivadavia 9902
67,100,-34.63909666081477,-58.50005409343995,Farmacia Belén,-34.63765698443398,-58.49975109100341,162,,Av. Rivadavia 9626
68,100,-34.63909666081477,-58.50005409343995,Farmacia Santa María,-34.638150897376555,-58.50399434566498,375,,Av. Rivadavia 9902
69,101,-34.63909666081477,-58.492201317799946,Farmacia APS,-34.63560902806727,-58.48998785018921,437,,Av. Rivadavia 8930
70,102,-34.63909666081477,-58.48434854215995,Farmacity,-34.63524753275958,-58.487351422203695,509,,Av. Rivadavia 8784
71,102,-34.63909666081477,-58.48434854215995,FARMA-PARK,-34.640740763886214,-58.4806162692799,387,,Lacarra 688
72,102,-34.63909666081477,-58.48434854215995,Farmacia Lucas 2,-34.640305,-58.486355,227,,Avenida Juan Bautista Alberdi 4301
73,103,-34.63909666081477,-58.476495766519946,FARMA-PARK,-34.640740763886214,-58.4806162692799,419,,Lacarra 688
74,104,-34.63909666081477,-58.46864299087995,Farmacity,-34.63556655452948,-58.467494005555004,406,,Av. Directorio 2896
75,104,-34.63909666081477,-58.46864299087995,Farmacity,-34.63557371803129,-58.46750020980835,405,,Av. Directorio 2896
76,108,-34.63909666081477,-58.43723188831996,Farmacity,-34.634659446847245,-58.43596686242108,507,,Asamblea
77,108,-34.63909666081477,-58.43723188831996,Farmacia Social Cobo,-34.64162438037782,-58.43229821147003,532,,Av Cobo 1199
78,108,-34.63909666081477,-58.43723188831996,Farmacity,-34.634792,-58.436172,488,,Av. Asamblea 826
79,109,-34.63909666081477,-58.42937911267995,Farmacia Social Cobo,-34.64162438037782,-58.43229821147003,388,,Av Cobo 1199
80,110,-34.63909666081477,-58.42152633703996,Farmacity,-34.642182729411665,-58.422996394637686,368,,Av La Plata 2401
81,110,-34.63909666081477,-58.42152633703996,Farmacity,-34.63904759684205,-58.41595166959374,510,,Av. Caseros 3590
82,111,-34.63909666081477,-58.41367356139996,Farmacity,-34.63904759684205,-58.41595166959374,208,,Av. Caseros 3590
83,111,-34.63909666081477,-58.41367356139996,Farmacia Social,-34.63774164913964,-58.407469045790634,587,,Uspallata 3400
84,112,-34.63909666081477,-58.40582078575996,La Santé,-34.6370743813038,-58.404693603515625,247,,Av. Caseros 2980
85,112,-34.63909666081477,-58.40582078575996,Farmacia Social,-34.63774164913964,-58.407469045790634,213,,Uspallata 3400
86,112,-34.63909666081477,-58.40582078575996,Farmacia Costa,-34.635297,-58.406116,423,,La Rioja
87,112,-34.63909666081477,-58.40582078575996,Farmacias Dr. Ahorro,-34.63696845302226,-58.405015468597405,248,,Av. Caseros 2979
88,112,-34.63909666081477,-58.40582078575996,Farmacia Del Arte,-34.636827215103104,-58.404972553253174,264,,Av Caseros 2915
89,113,-34.63909666081477,-58.39796801011996,La Santé,-34.63627257363923,-58.398675807769614,320,,Av. Caseros 2602
90,114,-34.63909666081477,-58.390115234479964,La Santé,-34.63462167308337,-58.390301131489096,498,,Av. Velez Sarfield 1
91,114,-34.63909666081477,-58.390115234479964,Farmacia,-34.63458,-58.38788,542,,
92,116,-34.63909666081477,-58.374409683199964,Farmacity,-34.63859760822905,-58.374273931493995,56,,Av. Montes de Oca 898
93,116,-34.63909666081477,-58.374409683199964,Farmacia Figari,-34.637550354003906,-58.37497329711914,179,,Av. Montes de Oca 839
94,116,-34.63909666081477,-58.374409683199964,Farmacia Barracas,-34.63499,-58.37505,460,,
95,116,-34.63909666081477,-58.374409683199964,Kiosko Tincho,-34.636463394349114,-58.37540978428015,307,,Montes De Oca 690
96,116,-34.63909666081477,-58.374409683199964,Farmacity,-34.635952218569734,-58.37069577154592,488,,Av Regimiento De Patricios 600
97,116,-34.63909666081477,-58.374409683199964,Farmacia Del FOSFORO,-34.63649456214272,-58.375382520639135,303,,montes de oca
98,116,-34.63909666081477,-58.374409683199964,Supermercado La perla,-34.63698657189089,-58.371770942203,337,,Jovellanos 419
99,117,-34.63909666081477,-58.36655690755996,Farmacity,-34.635952218569734,-58.37069577154592,515,,Av Regimiento De Patricios 600
100,117,-34.63909666081477,-58.36655690755996,Supermercado La perla,-34.63698657189089,-58.371770942203,532,,Jovellanos 419
101,119,-34.63247482929625,-58.523612420359946,Droguería Grupo Sud Latin S.A.,-34.63320127188532,-58.520398042712785,305,,M Porcel de Peralta 501
102,120,-34.63247482929625,-58.51575964471994,Droguería Grupo Sud Latin S.A.,-34.63320127188532,-58.520398042712785,432,,M Porcel de Peralta 501
103,121,-34.63247482929625,-58.507906869079946,Farmacia Del León,-34.632501687361504,-58.500587940216064,670,,Av. Lope de Vega 580
104,122,-34.63247482929625,-58.50005409343995,Farmacia Del León,-34.632501687361504,-58.500587940216064,48,,Av. Lope de Vega 580
105,122,-34.63247482929625,-58.50005409343995,Farmaplus,-34.6322636,-58.4972573,257,,Av. Beiro 5400
106,123,-34.63247482929625,-58.492201317799946,Farmacity,-34.63524753275958,-58.487351422203695,540,,Av. Rivadavia 8784
107,123,-34.63247482929625,-58.492201317799946,Farmaplus,-34.6322636,-58.4972573,463,,Av. Beiro 5400
108,123,-34.63247482929625,-58.492201317799946,Farmacia APS,-34.63560902806727,-58.48998785018921,403,,Av. Rivadavia 8930
109,123,-34.63247482929625,-58.492201317799946,Farmacia Líder,-34.63495,-58.487341,523,,Av. Rivadavia 8777
110,124,-34.63247482929625,-58.48434854215995,Farmacity,-34.63524753275958,-58.487351422203695,413,,Av. Rivadavia 8784
111,124,-34.63247482929625,-58.48434854215995,Farmacity,-34.633900570709685,-58.483088136312645,196,,Av. Rivadavia 8503
112,124,-34.63247482929625,-58.48434854215995,Farmacia Alberdi 3,-34.63408660888672,-58.483280181884766,204,,Av. Rivadavia 8509
113,124,-34.63247482929625,-58.48434854215995,Farmacia Líder,-34.63495,-58.487341,388,,Av. Rivadavia 8777
114,124,-34.63247482929625,-58.48434854215995,Farmacia APS,-34.63560902806727,-58.48998785018921,623,,Av. Rivadavia 8930
115,126,-34.63247482929625,-58.46864299087995,Farmacity,-34.63556655452948,-58.467494005555004,359,,Av. Directorio 2896
116,126,-34.63247482929625,-58.46864299087995,Laboratorio Biomédico Dr. Rapela,-34.63063705417475,-58.463917974497015,478,,Ramón L. Falcón 2534
117,126,-34.63247482929625,-58.46864299087995,Farmacity,-34.63557371803129,-58.46750020980835,360,,Av. Directorio 2896
118,126,-34.63247482929625,-58.46864299087995,Farmacity,-34.62997283030468,-58.46744051632335,299,,Av. Rivadavia 7263
119,126,-34.63247482929625,-58.46864299087995,Vantage,-34.62862422067355,-58.466994474184595,454,,
120,127,-34.63247482929625,-58.46079021523995,Laboratorio Biomédico Dr. Rapela,-34.63063705417475,-58.463917974497015,352,,Ramón L. Falcón 2534
121,127,-34.63247482929625,-58.46079021523995,Farmacity,-34.62877100063965,-58.46248397073564,440,,Av Rivadavia 6882
122,127,-34.63247482929625,-58.46079021523995,Ortopedia Simonyan,-34.62956196528668,-58.46001148223876,332,,Ramon Falcon 2380
123,127,-34.63247482929625,-58.46079021523995,Farmacia Alberdi,-34.630331165773576,-58.45860363031553,311,,Av. Juan Bautista Alberdi 2188
124,127,-34.63247482929625,-58.46079021523995,Farmacia Directorio,-34.631830768975334,-58.455848693847656,458,,Av. Directorio 2001
125,127,-34.63247482929625,-58.46079021523995,Farmacity,-34.63207503654701,-58.45812974718851,247,,
126,127,-34.63247482929625,-58.46079021523995,Vantage,-34.628405847243364,-58.46125183686101,454,,Rivadavia 6799
127,127,-34.63247482929625,-58.46079021523995,+vision,-34.62790264761177,-58.45970193169711,518,,Rivadavia 6600
128,128,-34.63247482929625,-58.45293743959995,Farmacia Alberdi,-34.630331165773576,-58.45860363031553,571,,Av. Juan Bautista Alberdi 2188
129,128,-34.63247482929625,-58.45293743959995,Farmacia Directorio,-34.631830768975334,-58.455848693847656,276,,Av. Directorio 2001
130,128,-34.63247482929625,-58.45293743959995,Farmacia Aconcagua,-34.627945,-58.45275,504,,Av. Juan Bautista Alberdi 1700
131,128,-34.63247482929625,-58.45293743959995,Farmacity,-34.63207503654701,-58.45812974718851,477,,
132,130,-34.63247482929625,-58.43723188831996,Farmacity,-34.634659446847245,-58.43596686242108,269,,Asamblea
133,130,-34.63247482929625,-58.43723188831996,Óptica,-34.63329188820088,-58.43629422835738,125,,Cobo
134,130,-34.63247482929625,-58.43723188831996,Farmacity,-34.634792,-58.436172,275,,Av. Asamblea 826
135,131,-34.63247482929625,-58.42937911267995,Farmacity,-34.632878057998276,-58.42540854199556,366,,Av. La Plata 1541
136,131,-34.63247482929625,-58.42937911267995,Barraca Acher,-34.633013371797105,-58.42849086866657,101,,Doblas 1510
137,132,-34.63247482929625,-58.42152633703996,Farmacity,-34.632878057998276,-58.42540854199556,358,,Av. La Plata 1541
138,132,-34.63247482929625,-58.42152633703996,Barraca Acher,-34.633013371797105,-58.42849086866657,640,,Doblas 1510
139,134,-34.63247482929625,-58.40582078575996,La Santé,-34.6370743813038,-58.404693603515625,522,,Av. Caseros 2980
140,134,-34.63247482929625,-58.40582078575996,Farmacia Costa,-34.635297,-58.406116,315,,La Rioja
141,134,-34.63247482929625,-58.40582078575996,Farmacias Dr. Ahorro,-34.63696845302226,-58.405015468597405,505,,Av. Caseros 2979
142,134,-34.63247482929625,-58.40582078575996,Farmacia Del Arte,-34.636827215103104,-58.404972553253174,490,,Av Caseros 2915
143,135,-34.63247482929625,-58.39796801011996,La Santé,-34.63627257363923,-58.398675807769614,427,,Av. Caseros 2602
144,135,-34.63247482929625,-58.39796801011996,Farmacia Entre Rios,-34.62873826770765,-58.39230141391107,665,,Av. Entre Rios 1735
145,136,-34.63247482929625,-58.390115234479964,La Santé,-34.63462167308337,-58.390301131489096,239,,Av. Velez Sarfield 1
146,136,-34.63247482929625,-58.390115234479964,Farmacia La Sante,-34.63385814823273,-58.388746618770966,198,,Perdriel 1
147,136,-34.63247482929625,-58.390115234479964,Farmacia,-34.63458,-58.38788,311,,
148,136,-34.63247482929625,-58.390115234479964,Farmacia Entre Rios,-34.62873826770765,-58.39230141391107,461,,Av. Entre Rios 1735
149,137,-34.63247482929625,-58.38226245883996,Farmacia Amfanor,-34.63133,-58.376858,511,,Av. Montes de Oca 217
150,137,-34.63247482929625,-58.38226245883996,Farmacia Brasil,-34.627846,-58.38281,517,,Avenida Brasil 1201
151,137,-34.63247482929625,-58.38226245883996,Farmacia La Sante,-34.63385814823273,-58.388746618770966,613,,Perdriel 1
152,138,-34.63247482929625,-58.374409683199964,Farmacia Barracas,-34.63499,-58.37505,286,,
153,138,-34.63247482929625,-58.374409683199964,Farmacia Amfanor,-34.63133,-58.376858,257,,Av. Montes de Oca 217
154,138,-34.63247482929625,-58.374409683199964,Farmacia Piedras 1960,-34.629853293746024,-58.37169170379639,383,,Piedras 1960
155,138,-34.63247482929625,-58.374409683199964,Farmacity,-34.635952218569734,-58.37069577154592,515,,Av Regimiento De Patricios 600
156,138,-34.63247482929625,-58.374409683199964,Kiosko Tincho,-34.636463394349114,-58.37540978428015,453,,Montes De Oca 690
157,138,-34.63247482929625,-58.374409683199964,Farmacia Figari,-34.637550354003906,-58.37497329711914,567,,Av. Montes de Oca 839
158,138,-34.63247482929625,-58.374409683199964,Farmacia Del FOSFORO,-34.63649456214272,-58.375382520639135,456,,montes de oca
159,138,-34.63247482929625,-58.374409683199964,Pañalera Sobrinitos,-34.629345,-58.370535,497,,Av. Martín García 392
160,139,-34.63247482929625,-58.36655690755996,Kiosco De Miguel,-34.632774353027344,-58.36041259765625,563,,
161,139,-34.63247482929625,-58.36655690755996,Farmacity,-34.63169393626987,-58.36107015609741,510,,Av. Almte Brown 800
162,139,-34.63247482929625,-58.36655690755996,Farmacity,-34.635952218569734,-58.37069577154592,541,,Av Regimiento De Patricios 600
163,139,-34.63247482929625,-58.36655690755996,Pañalera Sobrinitos,-34.629345,-58.370535,504,,Av. Martín García 392
164,140,-34.63247482929625,-58.358704131919964,Farmacity,-34.63169393626987,-58.36107015609741,233,,Av. Almte Brown 800
165,140,-34.63247482929625,-58.358704131919964,Farmacia Almirante Brown,-34.63243702316307,-58.35957829874218,80,,Av. Almirante Brown 900
166,140,-34.63247482929625,-58.358704131919964,Farmacia Martín Rodríguez,-34.632372957865925,-58.35960483938038,83,,Olavarría 445
167,140,-34.63247482929625,-58.358704131919964,Kiosco De Miguel,-34.632774353027344,-58.36041259765625,159,,
168,142,-34.625852997777734,-58.523612420359946,Kiosko De Tito,-34.62150415792436,-58.52145231026962,522,,
169,143,-34.625852997777734,-58.51575964471994,Farmacia Belén,-34.62083413993731,-58.51196424986433,658,,Lope De Vega 1690
170,146,-34.625852997777734,-58.492201317799946,Farmacia Etnica,-34.626027519907616,-58.48686733596608,488,,Avellaneda 3724
171,146,-34.625852997777734,-58.492201317799946,Farmacia,-34.625606859534045,-58.48791718482971,393,,Av. Juan B. Justo 6851
172,147,-34.625852997777734,-58.48434854215995,Farmacia Etnica,-34.626027519907616,-58.48686733596608,231,,Avellaneda 3724
173,147,-34.625852997777734,-58.48434854215995,Laboratorios Scott Cassara,-34.6254768371582,-58.484169006347656,44,,Av. Gaona 4302
174,147,-34.625852997777734,-58.48434854215995,Farmacia San Antonio,-34.62570465948362,-58.48117388850703,291,,Pehuajó 901
175,147,-34.625852997777734,-58.48434854215995,Farmacia,-34.625606859534045,-58.48791718482971,328,,Av. Juan B. Justo 6851
176,147,-34.625852997777734,-58.48434854215995,Quiosco- Pago Facil,-34.62331252802304,-58.47743231544412,693,,Cuenca
177,148,-34.625852997777734,-58.476495766519946,Quiosco- Pago Facil,-34.62331252802304,-58.47743231544412,295,,Cuenca
178,148,-34.625852997777734,-58.476495766519946,Farmacia San Antonio,-34.62570465948362,-58.48117388850703,428,,Pehuajó 901
179,149,-34.625852997777734,-58.46864299087995,Farmacia Osecac,-34.62757,-58.463093,543,,Yerbal 2399
180,149,-34.625852997777734,-58.46864299087995,Vantage,-34.62862422067355,-58.466994474184595,343,,
181,149,-34.625852997777734,-58.46864299087995,Farmacia Yanni,-34.6284508,-58.4637407,534,,Artigas
182,149,-34.625852997777734,-58.46864299087995,Farmacity,-34.62997283030468,-58.46744051632335,471,,Av. Rivadavia 7263
183,150,-34.625852997777734,-58.46079021523995,Farmacity,-34.62877100063965,-58.46248397073564,359,,Av Rivadavia 6882
184,150,-34.625852997777734,-58.46079021523995,Laboratorio Biomédico Dr. Rapela,-34.63063705417475,-58.463917974497015,604,,Ramón L. Falcón 2534
185,150,-34.625852997777734,-58.46079021523995,Vantage,-34.628405847243364,-58.46125183686101,287,,Rivadavia 6799
186,150,-34.625852997777734,-58.46079021523995,Farmacity,-34.626799580390745,-58.45663547047675,394,,Av. Rivadavia 6398
187,150,-34.625852997777734,-58.46079021523995,Famarcia california,-34.6262833,-58.4557509,464,,Av rivadavia 6327
188,150,-34.625852997777734,-58.46079021523995,Farmacia Alberdi,-34.630331165773576,-58.45860363031553,537,,Av. Juan Bautista Alberdi 2188
189,150,-34.625852997777734,-58.46079021523995,Ortopedia Simonyan,-34.62956196528668,-58.46001148223876,418,,Ramon Falcon 2380
190,150,-34.625852997777734,-58.46079021523995,Farmacia Osecac,-34.62757,-58.463093,284,,Yerbal 2399
191,150,-34.625852997777734,-58.46079021523995,Farmavie,-34.62287,-58.459717,346,,Av Boyacá 370
192,150,-34.625852997777734,-58.46079021523995,Farmacia Abc,-34.62241354464928,-58.45941759885599,402,,Av Rivadavia al 6300
193,150,-34.625852997777734,-58.46079021523995,Farmacia Yanni,-34.6284508,-58.4637407,395,,Artigas
194,150,-34.625852997777734,-58.46079021523995,+vision,-34.62790264761177,-58.45970193169711,248,,Rivadavia 6600
195,151,-34.625852997777734,-58.45293743959995,Farmacity,-34.626799580390745,-58.45663547047675,354,,Av. Rivadavia 6398
196,151,-34.625852997777734,-58.45293743959995,Farmacity,-34.623606,-58.449601,394,,Av. Rivadavia 5999
197,151,-34.625852997777734,-58.45293743959995,Famarcia california,-34.6262833,-58.4557509,262,,Av rivadavia 6327
198,151,-34.625852997777734,-58.45293743959995,Farmacia Aconcagua,-34.627945,-58.45275,233,,Av. Juan Bautista Alberdi 1700
199,151,-34.625852997777734,-58.45293743959995,Farmacia Florencia,-34.62381242053848,-58.44874169094584,446,,Av. Rivadavia 5892
200,151,-34.625852997777734,-58.45293743959995,Farmacia Homeopática de Flores,-34.62553405761719,-58.45351791381836,63,,
201,151,-34.625852997777734,-58.45293743959995,Farmacia SEC,-34.62653984581965,-58.45071512571836,217,,Yerbal 2399
202,151,-34.625852997777734,-58.45293743959995,Magistral,-34.62547826817639,-58.448797437223185,381,,Juan Bautista Alberdi
203,152,-34.625852997777734,-58.44508466395995,Farmacity,-34.623606,-58.449601,483,,Av. Rivadavia 5999
204,152,-34.625852997777734,-58.44508466395995,Openfarma,-34.621449515414184,-58.441750526984066,577,,Av Rivadavia 5444
205,152,-34.625852997777734,-58.44508466395995,Farmacia Cevasco,-34.626847,-58.442791,237,,Pedro Goyena 1176
206,152,-34.625852997777734,-58.44508466395995,Farmacia Florencia,-34.62381242053848,-58.44874169094584,404,,Av. Rivadavia 5892
207,152,-34.625852997777734,-58.44508466395995,Magistral,-34.62547826817639,-58.448797437223185,342,,Juan Bautista Alberdi
208,152,-34.625852997777734,-58.44508466395995,Farmacia SEC,-34.62653984581965,-58.45071512571836,521,,Yerbal 2399
209,153,-34.625852997777734,-58.43723188831996,Farmacity,-34.62610489595758,-58.437775917954106,57,,Av. Pedro Goyena 701
210,153,-34.625852997777734,-58.43723188831996,Farmacia Cevasco,-34.626847,-58.442791,521,,Pedro Goyena 1176
211,153,-34.625852997777734,-58.43723188831996,SolPan,-34.6245,-58.436341,171,,
212,153,-34.625852997777734,-58.43723188831996,homeopatia riglos,-34.62215805053711,-58.43663787841797,414,,
213,153,-34.625852997777734,-58.43723188831996,Farmacity,-34.621124267578125,-58.43635177612305,532,,Garcia Lorca 399
214,154,-34.625852997777734,-58.42937911267995,La Guardiana,-34.62700829459442,-58.426863378057575,263,,
215,154,-34.625852997777734,-58.42937911267995,Farmacia S.A.G.,-34.62271103756117,-58.430893421173096,376,,Av. Juan Bautista Alberdi 200
216,155,-34.625852997777734,-58.42152633703996,Farmacity,-34.62485514817897,-58.41611081934062,508,,Av. Boedo 955
217,155,-34.625852997777734,-58.42152633703996,Farmacia Suiza,-34.624668490377296,-58.41610691818958,513,,Av. Boedo 937
218,155,-34.625852997777734,-58.42152633703996,La Guardiana,-34.62700829459442,-58.426863378057575,505,,
219,155,-34.625852997777734,-58.42152633703996,Farmacias Dr. Ahorro,-34.62494857656227,-58.41595888137818,519,,Boedo 950
220,155,-34.625852997777734,-58.42152633703996,Kinder Farma,-34.62192069109102,-58.4195566773796,473,,Paraguay 3260
221,155,-34.625852997777734,-58.42152633703996,Nueva soper,-34.62196170573356,-58.41940620105223,474,,Boedo 783
222,155,-34.625852997777734,-58.42152633703996,Nueva Independencia,-34.62198080677629,-58.41952881137806,468,,Independencia 3830
223,156,-34.625852997777734,-58.41367356139996,Farmacity,-34.62485514817897,-58.41611081934062,249,,Av. Boedo 955
224,156,-34.625852997777734,-58.41367356139996,Farmacia Suiza,-34.624668490377296,-58.41610691818958,258,,Av. Boedo 937
225,156,-34.625852997777734,-58.41367356139996,Farmacias Dr. Ahorro,-34.62494857656227,-58.41595888137818,232,,Boedo 950
226,157,-34.625852997777734,-58.40582078575996,Farmacia Av. Gran San Juan,-34.624444577390456,-58.40632109402194,163,,Av. San Juan 3002
